조사일 년,조사월,출발,도착지,대형 차량,소형 차량
2022,01,부안,군산,1096,32534
2022,02,부안,군산,984,29186
2022,03,부안,군산,963,27774
2022,04,부안,군산,1787,42658
2022,05,부안,군산,2210,44554
2022,06,부안,군산,1889,35277
2022,07,부안,군산,1987,42510
2022,08,부안,군산,2108,52861
2022,09,부안,군산,2392,51575
2022,10,부안,군산,2795,48277
2022,11,부안,군산,2987,42087
2022,12,부안,군산,893,21749
2022,01,군산,부안,2704,90950
2022,02,군산,부안,2556,79449
2022,03,군산,부안,2699,78298
2022,04,군산,부안,5027,100973
2022,05,군산,부안,5420,149697
2022,06,군산,부안,4338,94221
2022,07,군산,부안,4540,139686
2022,08,군산,부안,4818,139982
2022,09,군산,부안,5710,143463
2022,10,군산,부안,6845,136890
2022,11,군산,부안,4449,91013
2022,12,군산,부안,3938,57658
2023,01,부안,군산,837,28073
2023,02,부안,군산,1055,27027
2023,03,부안,군산,1475,30571
2023,04,부안,군산,2424,48005
2023,05,부안,군산,1994,37983
2023,06,부안,군산,1877,37083
2023,01,군산,부안,2528,65296
2023,02,군산,부안,29376,72107
2023,03,군산,부안,4953,114962
2023,04,군산,부안,8160,139575
2023,05,군산,부안,6790,131158
2023,06,군산,부안,6062,127995
